Order_ID,Date,Customer,Product,Category,Quantity,Unit_Price
1001,2026-01-05,Amit,Laptop,Electronics,1,60000
1002,2026-01-07,Ravi,Mouse,Electronics,2,800
1003,2026-01-10,Neha,Keyboard,Electronics,1,1500
1004,2026-01-15,Priya,Office Chair,Furniture,1,8500
1005,2026-01-20,Amit,Monitor,Electronics,1,12000
1006,2026-02-03,Ravi,Laptop,Electronics,1,60000
1007,2026-02-08,Neha,Desk,Furniture,1,10000
1008,2026-02-12,Priya,Mouse,Electronics,3,800
1009,2026-02-18,Amit,Keyboard,Electronics,2,1500
1010,2026-02-22,Ravi,Office Chair,Furniture,2,8500
1011,2026-03-02,Neha,Monitor,Electronics,2,12000
1012,2026-03-06,Priya,Laptop,Electronics,1,60000
1013,2026-03-12,Amit,Desk,Furniture,1,10000
1014,2026-03-18,Ravi,Mouse,Electronics,4,800
1015,2026-03-25,Neha,Keyboard,Electronics,2,1500
